Titulo,Es taller,Puntuacion
Curso de Estructuras liberadoras,False,3.5
Curso de Google Analytics para Empresas,False,4.31
Curso de mapas mentales y GTD para una productividad inteligente,False,4.02
Curso de Asana: Planificación y seguimiento de proyectos,False,4.5
Curso de Asana: Maneja la estrategia de negocio y gestión de equipos desde un mismo lugar,False,4.12
Estilos de planificación: descubre la más adecuada para ti,True,3.82
Crea e interpreta cronogramas con Instagantt,True,4.5
Curso Experto en EMQx,False,5.0
Curso Protocolo MQTT con Mosquitto,False,4.32
Curso de Monitorización con Grafana y Prometheus,False,4.38
Curso SAP: Introducción al módulo MM,False,4.36
Curso SAP: Introducción al módulo QM,False,4.22
Curso SAP: Introducción al módulo PP,False,4.26
Curso de Manipulación del DOM desde JavaScript,False,4.59
Curso de Optimización CSS,False,4.49
Curso de React avanzado,False,4.1
Curso de Figma,False,4.21
Curso de Gatsby,False,4.0
Curso de Gestión de Proyectos IT,False,4.44
Crear y presentar un Project Plan,True,4.37
Monta tu propio Virtual Lab con Hyper-V,True,4.72
Monta tu propio Virtual Lab con VMware Workstation,True,4.61
Monta tu propio Virtual Lab con VirtualBox,True,4.69
Curso de introducción a la Virtualización,False,4.75
AZ-104 Taller 8: Gestionar máquinas virtuales,True,4.8
Curso de Despliegues con Ansible,False,4.36
"AZ-104 Taller 9: Implementación de aplicaciones web, contenedores y Kubernetes",True,4.44
AZ-104 Taller 10: Aplicar la protección de datos,True,4.4
Curso AZ-104 Parte 8: Gestión de máquinas virtuales en Azure,False,3.33
AZ-104 Taller 11: Aplicar la monitorización en Azure,True,4.56
Curso AZ-104 Parte 9: Computación sin servidor,False,5.0
Curso AZ-104 Parte 10: Protección de datos en Azure,False,4.25
Curso de Amazon Web Services para SysAdmin,False,3.89
AZ-104 Taller 4: Implementación de redes virtuales,True,4.91
Curso AZ-104 Parte 11: Monitorización en Azure,False,4.27
Curso AZ-104 Parte 3: Administración de Azure,False,5.0
AZ-104 Taller 5: Implementar la conectividad entre sitios,True,4.8
Curso AZ-104 Parte 4: Redes virtuales,False,4.75
Curso AZ-104 Parte 5: Conectividad entre sitios,False,5.0
AZ-104 Taller 6: Gestionando el tráfico de red,True,5.0
AZ-104 Taller 7: Gestionar el almacenamiento de Azure,True,4.71
Curso AZ-104 Parte 7: Almacenamiento en Azure,False,4.83
Curso de Agile UML,False,4.05
Curso AZ-104 Parte 6: Gestión del tráfico de red,False,5.0
Curso de SEO on page,False,4.47
Curso de Arquitectura Web para SEO,False,4.41
AZ-104 Taller 1: Gestión de las identidades de Azure Active Directory,True,4.64
Curso AZ-104 Parte 1: Gestión de la identidad en Azure,False,4.31
Curso AZ-104 Parte 2: Gobernanza y cumplimiento en Azure,False,5.0
AZ-104 Taller 2B: Gestión de la gobernanza con Azure Policy,True,4.71
AZ-104 Taller 3: Gestión de los recursos de Azure,True,4.62
AZ-104 Taller 2A: Gestión de suscripciones y RBAC,True,4.71
Curso de Vue práctico en la vida real,False,3.93
Uso de eventos en Vue,True,4.31
Wireframing con Figma,True,4.35
Curso de JavaScript avanzado,False,4.17
Curso de OneDrive,False,4.34
Curso de React intermedio,False,4.2
Curso de fundamentos de SEO,False,4.53
Curso de OneNote,False,4.23
Curso de Outlook,False,4.47
Creación de extensiones en Twig,True,5.0
"Curso AZ-900 Parte 1: Servicios, soluciones y herramientas en Azure",False,4.47
User journey mapping en remoto con Miro,True,4.12
Curso de DAX en Power BI,False,4.19
"Curso AZ-900 Parte 2: Seguridad, Identidad y gestión de costes en Azure",False,4.25
Curso de fundamentos de PL/SQL,False,4.29
Programación asíncrona con Async y Await,True,4.68
Inspección de usabilidad en producto,True,4.18
Curso de PowerPoint,False,4.36
Curso de Excel: Macros,False,4.53
Curso de Excel: Herramientas de cálculo avanzado,False,4.62
"Curso de Power Query, Pivot y Map en Excel",False,4.47
Interpretación de voz humana mediante IA para chatbots,True,4.73
Laboratorio de Asistentes de voz para dispositivos IoT,False,4.5
Laboratorio de Node-RED: Programa sin escribir código,False,4.55
Curso de Excel: VBA avanzado,False,4.35
Curso de Microsoft Teams,False,4.27
Curso de Excel: VBA,False,4.51
Test-driven development en Laravel,True,4.22
Fundamentos de Test-driven development,True,4.52
Test-driven development en PHP con PHPUnit,True,4.21
Creación de pipelines en Gitlab para CI/CD,True,4.27
Curso de modelado de datos en Power BI,False,4.27
Curso de Excel: Funciones avanzadas,False,4.48
Curso de Excel: Gráficos,False,4.48
Curso de pruebas automatizadas en una Web con Docker,False,4.19
"Crea infraestructuras automatizadas para pruebas con Docker, Jenkins y Selenium Grid",True,4.57
Curso de Excel: Bases de datos,False,4.62
Crea tu primera PWA a partir de un proyecto en Angular,True,4.19
Curso de Excel para principiantes,False,4.55
Curso de Excel: Funciones básicas,False,4.53
Nativescript: Usando componentes como la cámara y el GPS,True,4.56
Curso de Word para principiantes,False,4.55
Visión general sobre Cloud Computing y Amazon Web Services,True,4.36
Curso de Amazon Web Services para desarrolladores,False,4.01
Curso de Word avanzado,False,4.29
Análisis forense avanzado en sistemas Windows,True,4.34
Curso de desarrollo de aplicaciones móviles con NativeScript y Angular,False,4.2
¿Cómo puede un equipo de calidad liderar un cambio en la metodología de trabajo?,True,4.41
Introducción a la Auditoría de Sistemas de control industrial,True,4.54
Curso de Selenium con Java intermedio,False,4.39
Ajax con Fetch,True,4.74
Cómo auditar un Sistema de control industrial,True,4.5
Ajax con XMLHttpRequest,True,4.47
"Microservicios con Spring Boot, Eureka y Angular",True,4.48
Desarrollo de CRUD con Java EE,True,4.61
Curso de Selenium con Python para principiantes,False,4.58
Oracle Performance: Herramientas principales de análisis,True,4.36
Curso de Java QA,False,3.8
Ajax con Axios,True,4.7
Análisis forense avanzado en sistemas Linux,True,4.53
Curso de JMeter para la implementación de pruebas de rendimiento,False,4.35
Curso de Selenium con Python intermedio,False,4.33
Oracle Performance: Estadísticas e Índices,True,4.29
Metodología OKR para conseguir resultados,True,4.16
Lab. IOT y desarrollo en Cloud de un dispositivo de sensorización,False,4.38
Análisis forense básico en sistemas Linux,True,4.32
Creando una aplicación con FastAPI,True,4.13
Curso de Creación de Bots de Telegram con Spring Boot,False,4.19
Oracle Performance: Introducción al análisis de rendimiento,True,4.34
Curso de FinTech: Revolucionando las finanzas,False,3.68
Análisis forense básico en sistemas Windows,True,4.25
Tareas asíncronas en Django con Celery,True,4.55
Curso Profundizando en Django y Django REST,False,4.34
Instala y configura firewalls con pfSense,True,3.92
Planifica iteraciones en proyectos de forma ágil,True,4.48
Instala y configura firewalls con Endian,True,4.05
Mejores prácticas en Django,True,4.27
Curso de Power BI: Preparación de los datos,False,4.16
Estimación ágil con Planning Poker,True,4.54
Curso de Hyperledger Fabric,False,3.29
Knative: Uso de serverless en Kubernetes,True,4.57
Curso de Conceptos clave del mundo IT,False,4.51
Snort para industria 4.0,True,4.19
Curso de Product Owner en la práctica,False,4.38
Curso de PHP: Ampliando conceptos,False,4.41
Convierte tu videojuego Phaser en app para Android,True,4.52
SCRUM: Gestionando equipos de trabajo,True,4.65
Metasploit para pentesting,True,4.46
Criptografía Simétrica y Asimétrica en la práctica,True,4.56
Curso de Power BI: Introducción,False,4.27
Probando APIs con Postman,True,4.21
Gestión de usuarios y permisos en Oracle,True,4.12
Gestión de espacio en Oracle: Tablespaces y Datafiles,True,4.42
Herramientas avanzadas para búsquedas OSINT,True,4.35
Curso de desarrollo de videojuegos básicos con Phaser,False,4.55
Curso de Design Thinking,False,4.55
Curso de PHP para principiantes,False,4.56
Diseña y utiliza un tablero Kanban,True,4.66
Curso de desarrollo avanzado de videojuegos con Phaser,False,4.83
Gestión de espacio en Oracle: Instancia ASM,True,4.5
Autopsy: Recuperación de datos,True,4.44
Curso de Angular: Ampliando conceptos,False,4.28
Curso de Hacking Tools & Forensic: Red Team,False,4.24
OSINT para fuga de datos empresariales,True,4.42
Kubernetes: Modelo de persistencia y pods,True,4.79
Curso de Automatización de pruebas de una UI en Angular con Protractor,False,4.29
Diseño web con Material Design para Angular,True,4.33
Curso de Testing de APIs con JMeter,False,4.4
Testing en Python,True,4.27
Curso de Angular para principiantes,False,4.19
Publicación de paquetes en Pypi,True,5.0
Curso de Chrome Developers Tools: Herramientas para el desarrollo,False,4.48
Code splitting en SPA con React,True,4.91
Curso de Hacking Tools: Blue Team,False,4.19
Istio para principiantes,True,4.81
Curso de Chrome Developers Tools: Analizando distintos aspectos de una web,False,4.44
Renderización de aplicaciones React en el servidor,True,4.71
Curso de Big Data,False,4.39
Crea login y signup con Kotlin y Firebase,True,4.6
Curso de manejo de estado con Clases y Hooks en React,False,4.53
Kubernetes para principiantes,True,4.34
Curso Crea una API REST con Django desde cero,False,4.43
Curso de Introducción al diseño de interfaz de Usuarios (UI),False,4.33
Kubernetes: Creación de contenedores y despliegue de aplicaciones,True,4.34
Curso de manejo de estado y data fetching en React,False,4.67
Crea aplicaciones desde cero con Figma,True,4.5
Curso de ECMAScript 6,False,4.41
Curso de visualización de datos con Seaborn,False,4.51
Lectura y escritura de diferentes fuentes con Pandas,True,4.33
Curso Crea una app interactiva en Kotlin,False,4.32
Crea Dark Mode usando CSS3 variables,True,4.36
Curso de manipulación de DataFrames con Pandas,False,4.5
Organízate con Angular,True,4.35
Publica tu aplicación en Play Store,True,4.54
Curso de visualización de datos con Matplotlib,False,4.31
Arquitectura CSS aplicando BEM Style con SCSS,True,4.37
Uso de Git en Android Studio,True,4.6
Curso de Kotlin,False,4.39
"Curso de anotaciones Lombok para Constructores, Equals y Hash code",False,4.36
Caso de estudio con Pandas,True,4.66
Curso Crea tu primera aplicación en Android,False,4.48
Curso Construye objetos variables y constantes con Lombok,False,4.38
Curso de TypeScript,False,4.44
Laboratorio Consumo de APIs con Retrofit y Kotlin,False,4.76
Clean Commits en proyectos NPM,True,4.56
Curso de Visualización de datos con Python,False,4.35
Curso Diseña y prototipa una app con Adobe XD,False,4.47
Curso de Symfony 5 avanzado,False,4.38
Curso de Introducción a Lombok: Primeras anotaciones,False,4.2
EDA: Exploratory Data Analysis con Python,True,4.24
Ejecución de aplicaciones en un emulador de Android,True,4.56
Curso de tratamiento de datos con Pandas y NumPy,False,4.52
Curso de anotaciones Lombok orientadas a objetos,False,4.29
Curso de Elasticsearch y Kibana para desarrolladores,False,4.18
Curso de C++: Introducción,False,4.63
Curso de análisis y gestión del riesgo,False,3.95
Curso de NumPy con Python,False,4.5
Curso de C++: Estructuras de control y tipos de datos,False,4.36
Curso de Symfony 5: Primeros pasos,False,4.38
Curso de C++: Programación estructurada y Orientación a Objetos,False,4.55
Curso de Symfony 5 intermedio,False,4.48
Novedades de Java 10 y 11,True,4.69
Curso de tratamiento de datos con Pandas en Python,False,4.59
Organízate con React,True,4.0
Curso de introducción a la Ciberseguridad,False,4.12
Crea tu primera Voice App de Google Assistant con Dialogflow,True,4.33
Customiza la conversión de atributos con Hibernate y JPA,True,4.8
Aumenta tu productividad con Visual Studio Code,True,4.48
Aumenta tu productividad con IntelliJ,True,4.0
Curso de Odoo,False,4.13
Curso de gestión de proyectos basados en PRINCE2,False,3.81
Curso de MongoDB: Creación y gestión de bases de datos NoSQL,False,4.35
Laboratorio de I.A. aplicada al desarrollo de asistentes virtuales,False,4.67
Curso de Inteligencia Emocional aplicada a equipos de alto rendimiento,False,4.2
Curso de Jenkins: Usuarios y jobs,False,4.43
Curso de Jenkins: Pipelines y herramientas,False,4.33
Crea tu Continuous Delivery con Jenkins,True,4.59
Curso de JavaScript intermedio,False,4.32
Crea tu Api en C# con .NET Core,True,4.38
Curso de introducción a la Monitorización de Seguridad,False,4.2
Procesamiento de datos en tiempo real con Apache Nifi,True,4.54
Aprovisionamiento y despliegue automatizado con Ansible,True,4.46
Administración de bases de datos con Oracle Flashback,True,4.66
Profundizando en los despliegues automatizados con Ansible,True,4.37
Integración de aplicaciones en Flutter con Firebase,True,4.29
Curso de .NET Framework,False,4.36
Diseño de producto orientado al cliente,True,4.54
Curso de Jenkins para principiantes,False,4.27
La experiencia del cliente como elemento diferenciador,True,4.44
La riqueza de los datos,True,4.47
Arquitectura básica de una BBDD,True,4.32
Despliegues Blue/Green automatizados en Kubernetes con Jenkins,True,4.78
Web Components con StencilJS,True,4.69
Consultas Doctrine en Symfony,True,4.58
"Transformaciones, transiciones y animaciones con CSS3",True,4.74
Introducción a RMAN: Gestión básica de backups,True,4.45
Parcheado y upgrade en Oracle,True,4.4
Jenkins para la IC/DC de aplicaciones Dockerizadas,True,4.48
Gestión de entornos virtuales con Pipenv,True,4.46
Manejo de colecciones en Java,True,4.67
Réplicas con MariaDB y contenedores Docker,True,4.68
Estructuración de un proyecto en Angular,True,4.38
Creación de una instancia de BBDD Oracle 12c desde cero,True,4.23
Java 9: Nueva filosofía y funcionalidades,True,4.66
Creación y uso de mapas en Dash,True,4.0
Protección jurídica del software,True,4.3
Kubernetes en AWS,True,4.56
Gestión de personas y equipos en el Management 3.0,True,4.41
¿Cómo generar un web service en Java con Spring Boot?,True,3.88
Introducción a la Inteligencia Artificial,True,4.19
Curso de Power BI intermedio,False,4.16
Microsoft OneDrive para usuarios,True,4.22
Microsoft Planner,True,4.25
Introducción a Microsoft Teams,True,4.14
Microsoft Forms,True,4.48
Azure Ephemeral Pipelines,True,4.12
Curso de jQuery,False,4.42
Curso de Triage informático,False,4.11
Curso de fundamentos de Lean Change Management,False,4.38
Curso de Pentaho intermedio,False,4.28
Curso de Raspberry Pi para desarrolladores,False,4.49
Curso de gestión de tráfico en redes con Azure,False,4.41
Curso de Gradle 6.0,False,3.58
Curso de gestión de equipos con Management 3.0,False,4.41
Curso de análisis de malware,False,4.23
Curso de PHPUnit para principiantes,False,4.22
Curso de Protección de datos en Azure,False,4.38
Curso de liderazgo de equipos,False,4.11
Curso de Diseño de plantillas web,False,3.97
Curso de Gutenberg: creación y edición de bloques,False,3.9
Curso de fundamentos de redes para Certificación MTA,False,3.95
Curso de Selenium con Java para principiantes,False,4.44
Aumento del rendimiento en la ejecución de PHP con Varnish,True,4.21
Curso de Management 3.0,False,4.22
Curso de Construct 2: Desarrolla videojuegos sin código,False,4.43
Curso de monitorización con Azure,False,4.38
Curso de elementos avanzados en tu API REST con Spring Boot,False,4.52
Curso de aspectos legales para negocios digitales,False,4.16
Curso de QlikView,False,4.36
Cómo implementar Management 3.0,True,4.39
Curso de técnicas de Refactoring y Clean Code,False,3.76
Curso de seguridad en tu API REST con Spring Boot,False,4.44
Curso de Nuxt.js,False,4.49
